PERMNO,date,RET
11850,2021-10-06,-0.018338
11850,2021-10-07,0.002810
11850,2021-10-08,0.025058
11850,2021-10-11,-0.009971
11850,2021-10-12,-0.005198
11850,2021-10-13,-0.002776
11850,2021-10-14,0.015228
11850,2021-10-15,0.009516
11850,2021-10-18,-0.000479
11850,2021-10-19,0.015026
11850,2021-10-20,0.005512
11850,2021-10-21,-0.018168
11850,2021-10-22,0.006859
11850,2021-10-25,0.019487
11850,2021-10-26,0.023155
11850,2021-10-27,-0.025972
11850,2021-10-28,0.002807
11850,2021-10-29,0.002488
11850,2021-11-01,0.017993
11850,2021-11-02,-0.012342
11850,2021-11-03,-0.013730
11850,2021-11-04,0.007508
11850,2021-11-05,0.009470
11850,2021-11-08,0.010766
11850,2021-11-09,0.009738
11850,2021-11-10,-0.019439
11850,2021-11-11,0.001869
11850,2021-11-12,-0.007619
11850,2021-11-15,0.008618
11850,2021-11-16,0.010098
11850,2021-11-17,-0.010920
11850,2021-11-18,-0.010885
11850,2021-11-19,-0.046219
11850,2021-11-22,0.013845
11850,2021-11-23,0.026337
11850,2021-11-24,0.005544
11850,2021-11-26,-0.035129
11850,2021-11-29,0.005551
11850,2021-11-30,-0.028414
11850,2021-12-01,-0.000836
11850,2021-12-02,0.024921
11850,2021-12-03,-0.006364
11850,2021-12-06,0.011332
11850,2021-12-07,0.011205
11850,2021-12-08,0.002891
11850,2021-12-09,0.002562
11850,2021-12-10,0.006389
11850,2021-12-13,-0.021901
11850,2021-12-14,-0.001460
11850,2021-12-15,-0.004387
11850,2021-12-16,0.001632
11850,2021-12-17,-0.021835
11850,2021-12-20,-0.014493
11850,2021-12-21,0.022650
11850,2021-12-22,0.008099
11850,2021-12-23,0.000492
11850,2021-12-27,0.014258
11850,2021-12-28,-0.003232
11850,2021-12-29,-0.008753
11850,2021-12-30,-0.005887
11850,2021-12-31,0.006580
11850,2022-01-03,0.038405
11850,2022-01-04,0.037614
11850,2022-01-05,0.012437
11850,2022-01-06,0.023521
11850,2022-01-07,0.008197
11850,2022-01-10,-0.005952
11850,2022-01-11,0.042062
11850,2022-01-12,-0.002943
11850,2022-01-13,-0.007169
11850,2022-01-14,0.017556
11850,2022-01-18,0.016836
11850,2022-01-19,0.000410
11850,2022-01-20,0.002188
11850,2022-01-21,-0.015013
11850,2022-01-24,0.008591
11850,2022-01-25,0.029400
11850,2022-01-26,-0.010143
11850,2022-01-27,0.012808
11850,2022-01-28,0.002130
11850,2022-01-31,0.009033
11850,2022-02-01,0.064113
11850,2022-02-02,-0.002598
11850,2022-02-03,-0.011660
11850,2022-02-04,0.021712
11850,2022-02-07,0.012038
11850,2022-02-08,-0.025853
11850,2022-02-09,-0.004735
11850,2022-02-10,-0.009620
11850,2022-02-11,0.025179
11850,2022-02-14,-0.015335
11850,2022-02-15,-0.012535
11850,2022-02-16,0.004616
11850,2022-02-17,-0.001532
11850,2022-02-18,-0.011121
11850,2022-02-22,-0.011634
11850,2022-02-23,0.004054
11850,2022-02-24,-0.012635
11850,2022-02-25,0.026913
11850,2022-02-28,0.007451
11850,2022-03-01,0.009564
11850,2022-03-02,0.017178
11850,2022-03-03,0.006333
11850,2022-03-04,0.037636
11850,2022-03-07,0.036033
11850,2022-03-08,0.007576
11850,2022-03-09,-0.056847
11850,2022-03-10,0.031042
11850,2022-03-11,-0.005155
11850,2022-03-14,-0.035798
11850,2022-03-15,-0.056913
11850,2022-03-16,-0.003756
11850,2022-03-17,0.026648
11850,2022-03-18,-0.003925
11850,2022-03-21,0.044871
11850,2022-03-22,-0.004380
11850,2022-03-23,0.015762
11850,2022-03-24,0.003007
11850,2022-03-25,0.021828
11850,2022-03-28,-0.028052
11850,2022-03-29,-0.005313
11850,2022-03-30,0.017118
11850,2022-03-31,-0.014204
11850,2022-04-01,0.006417
11850,2022-04-04,0.000481
11850,2022-04-05,-0.005171
11850,2022-04-06,0.011120
11850,2022-04-07,0.016736
11850,2022-04-08,0.021046
11850,2022-04-11,-0.034431
11850,2022-04-12,0.020871
11850,2022-04-13,0.014136
11850,2022-04-14,0.011750
11850,2022-04-18,0.008198
11850,2022-04-19,-0.008922
11850,2022-04-20,0.002279
11850,2022-04-21,-0.010573
11850,2022-04-22,-0.021832
11850,2022-04-25,-0.033713
11850,2022-04-26,0.000365
11850,2022-04-27,0.028558
11850,2022-04-28,0.030246
11850,2022-04-29,-0.022362
11850,2022-05-02,0.013607
11850,2022-05-03,0.020599
11850,2022-05-04,0.039800
11850,2022-05-05,-0.015158
11850,2022-05-06,0.015281
11850,2022-05-09,-0.078853
11850,2022-05-10,0.006630
11850,2022-05-11,0.020819
11850,2022-05-12,0.004494
11850,2022-05-13,0.029664
11850,2022-05-16,0.023520
11850,2022-05-17,0.012754
11850,2022-05-18,-0.015851
11850,2022-05-19,0.005405
11850,2022-05-20,0.007900
11850,2022-05-23,0.022099
11850,2022-05-24,0.005432
11850,2022-05-25,0.020127
11850,2022-05-26,0.003531
11850,2022-05-27,0.009830
11850,2022-05-31,-0.016293
11850,2022-06-01,0.019167
11850,2022-06-02,-0.001738
11850,2022-06-03,0.014539
11850,2022-06-06,-0.002523
11850,2022-06-07,0.045832
11850,2022-06-08,0.011802
11850,2022-06-09,-0.021608
11850,2022-06-10,-0.018274
11850,2022-06-13,-0.045889
11850,2022-06-14,0.002608
11850,2022-06-15,-0.012591
11850,2022-06-16,-0.036885
11850,2022-06-17,-0.057665
11850,2022-06-21,0.062239
11850,2022-06-22,-0.039572
11850,2022-06-23,-0.030162
11850,2022-06-24,0.019833
11850,2022-06-27,0.024511
11850,2022-06-28,0.027743
11850,2022-06-29,-0.036940
11850,2022-06-30,-0.028143
11850,2022-07-01,0.022303
11850,2022-07-05,-0.031296
11850,2022-07-06,-0.018040
11850,2022-07-07,0.031940
11850,2022-07-08,0.001629
11850,2022-07-11,-0.005112
11850,2022-07-12,-0.013312
11850,2022-07-13,0.004024
11850,2022-07-14,-0.020038
11850,2022-07-15,0.016839
11850,2022-07-18,0.018453
11850,2022-07-19,0.025203
11850,2022-07-20,0.010989
11850,2022-07-21,-0.016697
11850,2022-07-22,-0.007635
11850,2022-07-25,0.033303
11850,2022-07-26,-0.003890
11850,2022-07-27,0.021645
11850,2022-07-28,0.011685
